CSR_Name,CSR_Number,Site_Name,Region
Sunderland FC Stadium,48830,Sunderland FC Stadium,UK - North
Leeds Gamble Hill,45112,College Lawns SF,UK - North
Moston North Unwind,88830,SW on Lightbowne Road,UK - West
Poyle Replacement,33056,Land North of Horton Road M25,UK - London
Opp 146 149 High St Slough SL1 1JP,100526,Ontix ID SLG10301860,UK - London
Alongside Existing Outbuildings off Chearsley Rd VF 22351,74303,Alongside Existing Outbuildings _ VF22351,UK - South
Springhill Unwind,93280,Bulls Burgers,UK - West
JCT THE TERRACE White Hart Lane,90785,Column Ref 3028475,UK - London
571-574 Roman Rd Bow London,96771,FW Asset ID LBTH 005842,UK - London
Macedonia Replacement (47030 Replacement),43806,Cornerstone_8305_Voda_n/a,UK - North
Birmingham New Street Replacement,23176,BT Midland ATE,UK - West
U900 Site Project Great Missenden (VF22026A),69519,U900 Site Project - Plyon ZL431,UK - South
BALLYKELLY RIVER,80656,Ballykelly River Id 160354,UK - North
Ancoats North Unwind,91726,Manchester Gould Street UW,UK - West
Tomatin,6383,Tomatin (BBC),UK - North
Oxford City West_VF1176A,69806,Oxford College - 1176VF,UK - South
Woolstone Milton Keynes,73857,DHL Building,UK - South
Boclair West,88887,Milngavie Road Asda 2,UK - West
OX7,100227,FW ID OXFD 062127,UK - South
Ballymoney East NI_D,87730,Ballymena RD SW,UK - North
Opp KENLOR ROAD BLACKSHAW RD,88009,Column Ref 197544,UK - London
CS_Coventry_VF53054,43066,Cornerstone 3559_Voda 53054_5,UK - South
Stark Building Materials Limited Southwater,25910,Stark Building Materials Limited Southwater,UK - South
Kenton Central,16350,Beechcroft Flats,UK - North
Leeming,71094,Leeming Services,UK - North
Zebra Crossing nr jw Melrose Av-Arthur Road,86428,Column Ref 669,UK - London
Stroud Green,1525,Chettle Court N8,UK - London
Clayhall,18108,Clayhall,UK - London
Sainsburys Argos Great Yarmouth,91258,Sainsburys Argos Great Yarmouth,UK - North
LEICESTER MTX,67198,LEICESTER MTX,UK - South
Alnmouth,10064,RAF Boulmer,UK - North
Birkby West,43004,Lindley Liberal Club,UK - North
Weaste West Unwind,91722,Mode Wheel Road UW,UK - West
Cadent Gas Ansty Coventry,25392,Cadent Gas Ansty Coventry,UK - North
NHIB _ FW _ 4G _  RG1 1RN _ One Station Hill _ LGF LMez GF,102110,NHIB  FW  4G  RG1 1RN  One Station Hill  LGF LMez GF,UK - South
Meadow Court Stadium,70927,Meadow Court Stadium - Station Road,UK - North
NTL,68180,NTL - CHARTHAM HEATH,UK - South
2017 McD P1 McDonalds Bow Road,81463,McDonalds - Bow London,UK - London
 MITCHAM EAST,5298,St Olaves Vicarage,UK - London
PCO  SACKVILLE STREET,86698,K6 2077346703,UK - London
Grangemouth Avonmouth,46322,Inchyra Road (SW adjacent Caltech),UK - North
Princes Risborough,1023,Princes Risborough Station,UK - South
LISNAGREGGAN,13593,CROWN CASTLE SITE,UK - North
Mizuho International PLC London,22506,Mizuho International PLC London,UK - London
Liverpool Knotty Ash East (B3),88896,SW on East Prescott Road,UK - West
Bristol Tower House,44992,Cornerstone 11727_VF 1670,UK - West
replc-CSR-7843,86972,The Penny Drop,UK - London
SPEYBANK,15034,BALLOURIE,UK - North
Aline Lodge Ardvourlie,76862,Ardvourlie,UK - North
SOUTHERN WATER SERVICES-HAILSHAM W.W.T.W,66916,SOUTHERN WATER SERVICES-HAILSHAM W.W.T.W,UK - South
Exchange Shopping Centre,8690,Exchange Shopping Centre,UK - London
Smith Gore,43051,Smith Gore,UK - West
Old Street (30468 Micro NTQ rep),79825,Stylus,UK - London
ONE2ONE MAST,66970,ONE2ONE MAST - WHITE HORSE FARM,UK - North
Flixton South Unwind,88920,SW on Carrington Road,UK - West
EMPINGHAM (3775VF) Temp replacement,95741,Stamford Road SW Temp,UK - South
OPP 128 DRAKE ST,87530,Column Ref 898125,UK - London
Broadstairs,126,North Foreland RS BTI,UK - South
Henley-On-Thames (VF4307A),69648,Jewson Timber (4307VF),UK - South
Servatruc Ltd,67758,Servatruc Ltd,UK - South
NTL CROPWELL BUTLER,67407,NTL CROPWELL BUTLER,UK - South
