RFCodeID,rc_rf_cfg_code,rc_vendor
1082,N13B-M4-1-v1,Nokia
1105,N13B-M3-1-v1,Nokia
160,E13B-M2-2-v1,Ericsson
440,N13B-M4-2-v1,Nokia
826,N13B-M2-2-v1,Nokia
982,N13B-M3-2-v1,Nokia
1044,E13B-M3-2-v1,Ericsson
1214,E13B-M4-2-v1,Ericsson
490,E13B-M2-3-v1,Ericsson
830,E13B-M4-3-v1,Ericsson
854,N13B-M3-3-v1,Nokia
1004,E13B-M3-3-v1,Ericsson
1307,N13B-M2-3-v1,Nokia
1352,N13B-M4-3-v1,Nokia
81,E13B-M2-4-v1,Ericsson
343,E13B-M3-4-v1,Ericsson
1038,E13B-M4-4-v1,Ericsson
1212,N13B-M2-4-v1,Nokia
1342,N13B-M4-4-v1,Nokia
1372,N13B-M3-4-v1,Nokia
103,E14A-M4-1-v1,Ericsson
247,ENI14A-M3-1-v1,Ericsson (Northern Ireland)
448,N14A-M3-1-v1,Nokia
528,E14A-M2-1-v1,Ericsson
795,N14A-M2-1-v1,Nokia
942,N14A-M4-1-v1,Nokia
1035,ENI14A-M2-1-v1,Ericsson (Northern Ireland)
1066,E14A-M3-1-v1,Ericsson
1374,ENI14A-M4-1-v1,Ericsson (Northern Ireland)
189,N14A-M3-2-v1,Nokia
521,E14A-M2-2-v1,Ericsson
688,ENI14A-M4-2-v1,Ericsson (Northern Ireland)
827,N14A-M4-2-v1,Nokia
839,E14A-M3-2-v1,Ericsson
965,ENI14A-M2-2-v1,Ericsson (Northern Ireland)
971,N14A-M2-2-v1,Nokia
1047,ENI14A-M3-2-v1,Ericsson (Northern Ireland)
1286,E14A-M4-2-v1,Ericsson
276,E14A-M4-4-v1,Ericsson
970,N14A-M2-4-v1,Nokia
979,E14A-M3-4-v1,Ericsson
1353,N14A-M3-4-v1,Nokia
1361,E14A-M2-4-v1,Ericsson
1385,N14A-M4-4-v1,Nokia
60,ENI14B-M2-1-v1,Ericsson (Northern Ireland)
136,E14B-M3-1-v1,Ericsson
188,N14B-M3-1-v1,Nokia
199,N14B-M4-1-v1,Nokia
396,ENI14B-M4-1-v1,Ericsson (Northern Ireland)
538,ENI14B-M3-1-v1,Ericsson (Northern Ireland)
796,N14B-M2-1-v1,Nokia
888,E14B-M2-1-v1,Ericsson
974,E14B-M4-1-v1,Ericsson
